"Ensimmäinen luku","Toinen luku","Kolmas luku","Neljäs luku","Viides luku","Satunnainen valinta","Toinen satunnainen valinta","Kolikonheitto [1. heitto]","Kolikonheitto [2. heitto]","Kolikonheitto [3. heitto]","Kolikonheitto [4. heitto]","Kolikonheitto [5. heitto]","Kolikonheitto [6. heitto]","Arvaa noutajan paino","Arvaa lähimmäs keskiarvoa","Vaihtoehto B","Matematiikan käyttö","Kätisyytesi","Kengännumero"
"19","4","16","3","11","3","1;4","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Klaava","20","40","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","43"
"5","14","5","9","4","3","1;4","Klaava","Kruuna","Klaava","Klaava","Kruuna","Kruuna","30","30","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","43"
"4","18","0","7","12","3","1;2;3;4","Kruuna","Klaava","Kruuna","Klaava","Kruuna","Klaava","38","44","Vaihtoehto A","Vältän matematiikkaa kuin ruttoa","Oikea","39"
"4","7","10","15","18","3","1;2;3","Kruuna","Klaava","Klaava","Klaava","Klaava","Klaava","48","33","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","38"
"2","10","1","18","19","2","1;2","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Kruuna","35","10","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"17","8","5","12","1","1","2;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","42","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"18","12","1","5","6","3","2;3;4","Kruuna","Kruuna","Kruuna","Klaava","Klaava","Kruuna","28","7","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","41"
"4","7","13","3","8","4","1;4","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Klaava","30","0","Vaihtoehto A","Vältän matematiikkaa kuin ruttoa","Oikea","38"
"3","8","7","6","10","1","3","Klaava","Klaava","Kruuna","Klaava","Kruuna","Klaava","32","70","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","43"
"1","10","5","12","3","3","1;2","Kruuna","Klaava","Kruuna","Klaava","Klaava","Kruuna","73","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"17","5","7","1","4","3","1;2;3;4","Klaava","Kruuna","Klaava","Klaava","Kruuna","Klaava","32","0","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"10","11","12","13","14","3","2;4","Klaava","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","13","10","Vaihtoehto A","Vältän matematiikkaa kuin ruttoa","Oikea","36"
"9","3","16","2","14","3","2;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","27","73","Vaihtoehto A","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","38"
"3","8","10","0","18","3","1;3;4","Klaava","Kruuna","Kruuna","Klaava","Klaava","Kruuna","26","13","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","37"
"13","3","1","2","16","2","1;2","Kruuna","Klaava","Klaava","Klaava","Klaava","Klaava","36","36","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","43"
"0","19","5","9","12","1","1;2","Klaava","Kruuna","Klaava","Klaava","Kruuna","Klaava","54","1","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","39"
"3","7","4","4","8","1","3","Klaava","Klaava","Kruuna","Klaava","Klaava","Kruuna","16","10","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","43"
"7","8","13","2","18","2","2","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","40","30","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","41"
"1","5","10","9","12","4","1;2;3;4","Klaava","Kruuna","Klaava","Klaava","Kruuna","Klaava","25","20","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","42"
"5","7","8","1","5","3","1","Klaava","Kruuna","Klaava","Klaava","Kruuna","Klaava","70","40","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Oikea","36"
"3","8","10","12","18","3","1;2;3;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","20","0","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","38"
"5","11","9","18","3","2","4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","32","30","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Molemmat","38"
"13","7","1","4","6","3","2;3","Kruuna","Klaava","Klaava","Klaava","Klaava","Klaava","32","42","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Vasen","46"
"8","17","11","6","4","2","3;4","Kruuna","Kruuna","Klaava","Klaava","Kruuna","Klaava","39","32","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","37"
"8","7","9","3","14","1","1;2;3;4","Kruuna","Kruuna","Klaava","Klaava","Kruuna","Kruuna","85","33","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","44"
"5","3","8","10","19","3","2","Kruuna","Kruuna","Kruuna","Klaava","Klaava","Kruuna","10","10","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"13","8","7","1","17","2","1;2;4","Klaava","Kruuna","Kruuna","Kruuna","Klaava","Klaava","17","46","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"3","1","7","19","8","2","2;3;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","48","40","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","43"
"1","5","10","15","19","2","2","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Klaava","50","50","Vaihtoehto A","Vältän matematiikkaa kuin ruttoa","Oikea","37"
"1","2","3","4","5","4","1;3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","72","50","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"5","9","12","1","8","2","1;2;3;4","Klaava","Klaava","Kruuna","Klaava","Kruuna","Kruuna","30","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","39"
"7","4","8","1","9","4","1;2;3;4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","25","30","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","44"
"0","1","2","4","5","4","1;4","Kruuna","Klaava","Klaava","Klaava","Kruuna","Klaava","34","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"4","0","11","19","17","2","1;2;3","Kruuna","Kruuna","Klaava","Klaava","Klaava","Kruuna","34","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","42"
"7","13","18","2","10","2","2;4","Kruuna","Klaava","Klaava","Klaava","Kruuna","Kruuna","19","-22","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"18","3","4","16","11","2","1;4","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Klaava","32","13","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","42"
"3","15","10","1","8","1","1;2;3;4","Kruuna","Klaava","Kruuna","Klaava","Kruuna","Klaava","40","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"18","6","2","4","0","2","1;2;4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","32","22","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"1","2","4","8","16","3","4","Klaava","Klaava","Kruuna","Klaava","Kruuna","Kruuna","50","23","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"7","5","3","2","1","3","2;4","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","50","45","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","43"
"1","9","5","0","7","2","2;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","35","10","Vaihtoehto A","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","8"
"6","4","13","7","9","3","4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","22","-25","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Vasen","40"
"9","12","4","17","7","3","1;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","42","23","Vaihtoehto A","En halua vastata","Oikea","37"
"8","4","17","5","19","4","1","Klaava","Klaava","Kruuna","Klaava","Klaava","Kruuna","22","15","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","4"
"13","18","0","4","9","4","1;2;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","76","15","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","40"
"13","3","1","19","0","2","1;3","Kruuna","Klaava","Kruuna","Klaava","Kruuna","Klaava","13","25","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","42"
"5","4","7","8","19","3","2;3","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","30","35","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"5","2","9","14","15","1","1;3;4","Klaava","Kruuna","Klaava","Klaava","Klaava","Kruuna","58","33","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"5","19","2","15","11","2","1;2;3;4","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","Klaava","70","1","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","40"
"4","8","9","15","10","1","3;4","Kruuna","Kruuna","Klaava","Klaava","Klaava","Kruuna","40","75","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","38"
"2","4","6","8","10","1","1;2;3;4","Klaava","Klaava","Klaava","Klaava","Klaava","Klaava","20","0","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","45"
"4","6","10","12","18","4","2;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","60","50","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"0","8","9","16","19","4","1;3;4","Kruuna","Kruuna","Klaava","Klaava","Klaava","Kruuna","80","24","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","45"
"12","5","1","16","7","4","1;3;4","Kruuna","Klaava","Klaava","Klaava","Kruuna","Klaava","65","50","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","36"
"4","13","8","2","19","2","3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","15","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","43"
"9","5","17","0","2","3","1;4","Kruuna","Klaava","Klaava","Kruuna","Klaava","Kruuna","20","20","Vaihtoehto B <-- tavoite 50 %","En halua vastata","Oikea","45"
"10","6","13","7","9","3","1;3","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","33","10","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"16","4","3","10","19","1","1;2;4","Klaava","Klaava","Kruuna","Klaava","Kruuna","Klaava","38","7","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Mitä se sinulle kuuluu?","41"
"5","4","18","2","7","2","3","Klaava","Klaava","Klaava","Kruuna","Klaava","Kruuna","33","17","Vaihtoehto A","En halua vastata","Oikea","38"
"7","11","8","0","17","4","1","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","38","27","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","38"
"6","11","19","7","3","1","2;3","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","18","3","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","47"
"3","9","12","11","18","3","1;2;4","Klaava","Kruuna","Kruuna","Klaava","Klaava","Klaava","56.8","27","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"4","8","1","18","11","2","1;2","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","29","10","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","40"
"3","9","18","5","10","3","1;2;3;4","Kruuna","Klaava","Klaava","Klaava","Kruuna","Klaava","37","56","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Oikea","40"
"15","3","4","19","10","3","2;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","64","2","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"5","8","10","0","7","1","1;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","30","10","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","40"
"19","9","14","7","8","4","2","Klaava","Klaava","Kruuna","Klaava","Klaava","Kruuna","30","52","Vaihtoehto A","Vältän matematiikkaa kuin ruttoa","Oikea","36"
"19","0","1","5","4","3","1;2;3;4","Klaava","Klaava","Kruuna","Kruuna","Kruuna","Klaava","30","25","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Vasen","39"
"17","4","1","7","5","2","1;3;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","28","49","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","44"
"6","8","12","15","1","3","2","Kruuna","Kruuna","Kruuna","Klaava","Klaava","Kruuna","23","0","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"4","7","13","19","5","4","3","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","62","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"3","9","7","19","5","3","1;2;4","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Klaava","48","50","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","37"
"0","0","0","0","0","3","1;2;3;4","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","25","25","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Mitä se sinulle kuuluu?","42"
"5","13","17","1","6","1","3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","26","17","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Mitä se sinulle kuuluu?","41"
"2","4","10","12","14","3","1;4","Kruuna","Klaava","Klaava","Klaava","Klaava","Klaava","37","100","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","37"
"15","16","1","2","18","2","1;2;3;4","Kruuna","Kruuna","Kruuna","Klaava","Klaava","Klaava","50","2","Vaihtoehto A","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Molemmat","43"
"8","6","11","12","4","4","1;2","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Klaava","40","-25","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"3","9","11","15","19","3","1;2;3;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","45","0","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","39"
"3","5","8","13","17","4","2","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Kruuna","23","45","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Molemmat","42"
"7","10","12","0","8","2","2;3;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","30","88","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","40"
"19","15","1","2","3","4","2;3","Kruuna","Klaava","Klaava","Klaava","Kruuna","Kruuna","35","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"4","19","3","6","15","1","1;2","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","25","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","42"
"5","15","7","1","19","3","2;3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","40","30","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Oikea","39"
"1","4","8","17","18","3","2","Kruuna","Klaava","Klaava","Kruuna","Klaava","Kruuna","45","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","43"
"3","7","8","11","12","1","3;4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","45","38","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","45"
"6","19","14","16","15","2","1;4","Klaava","Kruuna","Kruuna","Klaava","Klaava","Klaava","34","23","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"1","4","8","18","19","1","1;3;4","Klaava","Klaava","Klaava","Kruuna","Klaava","Klaava","38","0","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","43"
"1","1","1","9","16","2","4","Kruuna","Kruuna","Klaava","Klaava","Klaava","Klaava","14","0","Vaihtoehto A","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","45"
"1","5","2","10","11","1","3","Kruuna","Klaava","Kruuna","Klaava","Klaava","Kruuna","45","23","Vaihtoehto A","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","38"
"7","3","11","18","16","3","1;2;3;4","Kruuna","Kruuna","Klaava","Klaava","Kruuna","Klaava","50","2","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","39"
"8","1","14","2","18","3","2;3","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","22","-2","Vaihtoehto C","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Oikea","40"
"8","17","5","0","19","3","2","Klaava","Klaava","Kruuna","Kruuna","Kruuna","Kruuna","69","-8","Vaihtoehto C","Vältän matematiikkaa kuin ruttoa","Oikea","42"
"2","12","15","18","19","3","3;4","Klaava","Klaava","Kruuna","Klaava","Kruuna","Kruuna","52","0","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"8","19","13","6","9","2","4","Kruuna","Klaava","Kruuna","Klaava","Kruuna","Klaava","42","42","Vaihtoehto A","Vältän matematiikkaa kuin ruttoa","Oikea","47"
"0","15","3","9","12","2","1;3;4","Kruuna","Kruuna","Klaava","Klaava","Klaava","Kruuna","33","45","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","43"
"1","8","4","6","9","3","1;2;3;4","Klaava","Klaava","Klaava","Klaava","Klaava","Klaava","15","12","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Mitä se sinulle kuuluu?","49"
"4","7","13","19","5","4","3","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","62","0","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"6","2","14","3","14","3","4","Klaava","Klaava","Kruuna","Klaava","Kruuna","Kruuna","49.2","80","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","39"
"14","5","12","9","7","2","1;2;3;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Klaava","30","30","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","40"
"2","4","10","19","5","1","1;2;3","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","Kruuna","31","55","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","44"
"1","19","6","9","11","3","1;3;4","Kruuna","Kruuna","Klaava","Kruuna","Kruuna","Kruuna","36.7","-40","Vaihtoehto A","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","38"
"9","17","4","5","8","3","1","Klaava","Klaava","Kruuna","Klaava","Kruuna","Kruuna","35","78","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Oikea","37"
"2","5","18","6","10","2","1;2;3","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Kruuna","15","39","Vaihtoehto B <-- tavoite 50 %","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","36"
"4","1","12","7","9","4","1;4","Kruuna","Klaava","Klaava","Kruuna","Kruuna","Kruuna","28","45","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Vasen","43"
"9","8","8","4","2","2","2;3;4","Klaava","Kruuna","Klaava","Klaava","Klaava","Kruuna","30","33","Vaihtoehto B <-- tavoite 50 %","Työskentelen tai opiskelen matemaattis-luonnontieteellisellä alalla","Mitä se sinulle kuuluu?","43"
"5","2","3","17","8","3","2;3","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","40","0","Vaihtoehto A","Vältän matematiikkaa kuin ruttoa","Oikea","39"
"0","3","11","15","19","2","2","Klaava","Kruuna","Kruuna","Kruuna","Klaava","Kruuna","25","20","Vaihtoehto C","Käytän matematiikkaa jonkin verran töissä tai opinnoissa","Oikea","41"
"2","4","6","8","10","1","4","Kruuna","Kruuna","Klaava","Kruuna","Klaava","Kruuna","28","0","Vaihtoehto B <-- tavoite 50 %","Vältän matematiikkaa kuin ruttoa","Molemmat","40"
